plc,Table,Tag,LogAddr,Address,comment,DataType,IO
P209000AE01-JC5,Drives Inputs,209210CHB21M14SG2,%I15101.2,15101.2,209210CHB21 OK to close Holdback,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.3,%I15100.3,15100.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15101.6,%I15101.6,15101.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.0,%I15100.0,15100.0,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.7,%I15100.7,15100.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.1,%I15100.1,15100.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209220CHB21M14SG9,%I16101.4,16101.4,"209220CHB21 Holdback open ""SET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I16101.5,%I16101.5,16101.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.2,%I16100.2,16100.2,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15101.3,%I15101.3,15101.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.0,%I17000.0,17000.0,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.1,%I17000.1,17000.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.6,%I16100.6,16100.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CHB22M14SG9,%I17051.2,17051.2,"209230CHB22 Holdback open ""SET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I15101.7,%I15101.7,15101.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG1,%I17026.4,17026.4,209230CA21 Buffer first leg full,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CHB21M14SG9,%I17026.2,17026.2,"209230CHB21 Holdback open ""SET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.7,%I17075.7,17075.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG9,%I17051.6,17051.6,209230CA21 OK to close Holdback 209230CHB22,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.0,%I17050.0,17050.0,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17076.6,%I17076.6,17076.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG2,%I17026.6,17026.6,209230CA21 Holdback Occupied 209230CHB21,Bool,Input
P209000AE01-JC5,Drives Inputs,I17076.3,%I17076.3,17076.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.2,%I15100.2,15100.2,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.6,%I15100.6,15100.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.2,%I17050.2,17050.2,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.2,%I17075.2,17075.2,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.6,%I17050.6,17050.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.5,%I17050.5,17050.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17025.3,%I17025.3,17025.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.4,%I17075.4,17075.4,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.6,%I17075.6,17075.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17051.1,%I17051.1,17051.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17025.7,%I17025.7,17025.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CR22M1SG1,%I17076.0,17076.0,"209230CR22 Stop backwards ""RESET""",Bool,Input
P209000AE01-JC5,Drives Inputs,209230CR22M1SG8V,%I17076.2,17076.2,"209230CR22 Stop High speed forward ""SET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I17051.5,%I17051.5,17051.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17026.3,%I17026.3,17026.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.2,%I17001.2,17001.2,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.3,%I17000.3,17000.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17076.5,%I17076.5,17076.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.6,%I17001.6,17001.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.3,%I16100.3,16100.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.7,%I17000.7,17000.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.4,%I16100.4,16100.4,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.3,%I17050.3,17050.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17026.5,%I17026.5,17026.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG4,%I17025.2,17025.2,209230CA21 Buffer second leg full,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.7,%I16100.7,16100.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.3,%I17001.3,17001.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209220CHB21M14SG1,%I16101.0,16101.0,"209220CHB21 Holdback closed ""RESET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.7,%I17050.7,17050.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.1,%I17050.1,17050.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17025.6,%I17025.6,17025.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16101.3,%I16101.3,16101.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.3,%I17075.3,17075.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17025.5,%I17025.5,17025.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.7,%I17001.7,17001.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.0,%I17075.0,17075.0,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17051.3,%I17051.3,17051.3,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17026.1,%I17026.1,17026.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17051.7,%I17051.7,17051.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.4,%I15100.4,15100.4,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I15100.5,%I15100.5,15100.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.2,%I17000.2,17000.2,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209210CHB21M14SG1,%I15101.0,15101.0,"209210CHB21 Holdback closed ""RESET""",Bool,Input
P209000AE01-JC5,Drives Safety Inputs,209000AK03M1-UE130_PSC-1FB,%I15403.0,15403.0,Feedback Position speed control -> SSM,Bool,Input
P209000AE01-JC5,Drives Safety Inputs,209000AK03M1-UE133_PSC-1FB,%I15478.0,15478.0,Feedback Position speed control -> SSM,Bool,Input
P209000AE01-JC5,Drives Safety Inputs,209000AK04M1-UE143_PSC-1FB,%I16478.0,16478.0,Feedback Position speed control -> SSM,Bool,Input
P209000AE01-JC5,Drives Safety Inputs,209000AK03M4-UE131_PSC-1FB,%I15428.0,15428.0,Feedback Position speed control -> SSM,Bool,Input
P209000AE01-JC5,Drives Safety Inputs,209000AK04M4-UE141_PSC-1FB,%I16428.0,16428.0,Feedback Position speed control -> SSM,Bool,Input
P209000AE01-JC5,Drives Safety Inputs,209000AK04M1-UE140_PSC-1FB,%I16403.0,16403.0,Feedback Position speed control -> SSM,Bool,Input
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_DO2-P,%Q16425.4,16425.4,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_DMC-ccw,%Q15426.7,15426.7,Direction monitoring control -> SDI,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_EStopExternal,%Q16426.0,16426.0,External Emergency Stop,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209230CHB22M14-UE152_STO,%Q17450.0,17450.0,Safe Torque OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_Lock,%Q15401.2,15401.2,Drive Base Lock,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_Reset,%Q16476.3,16476.3,Drive Base Reset,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_DMC-ccw,%Q16476.7,16476.7,Direction monitoring control -> SDI,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_Running,%Q15401.1,15401.1,Drive Base Running,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_Reset,%Q16426.3,16426.3,Drive Base Reset,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_PSC-1,%Q15478.0,15478.0,Position speed control -> SSM,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE132_DO0,%Q15450.0,15450.0,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_Lock,%Q15476.2,15476.2,Drive Base Lock,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_PSC-1,%Q16478.0,16478.0,Position speed control -> SSM,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209220CHB21M14-UE144_STO,%Q16500.0,16500.0,Safe Torque OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_Reset,%Q15401.3,15401.3,Drive Base Reset,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209230CA21M4-UE150_STO,%Q17400.0,17400.0,Safe Torque OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_EStopExternal,%Q15401.0,15401.0,External Emergency Stop,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_MSC-1,%Q15427.4,15427.4,Maximum speed control -> SLS,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_EStopExternal,%Q15426.0,15426.0,External Emergency Stop,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_MSC-1,%Q16427.4,16427.4,Maximum speed control -> SLS,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_PSC-1,%Q15403.0,15403.0,Position speed control -> SSM,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_PSC-1,%Q15428.0,15428.0,Position speed control -> SSM,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE142_DO0,%Q16450.0,16450.0,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_DO2-M,%Q15400.5,15400.5,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_PSC-1,%Q16428.0,16428.0,Position speed control -> SSM,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_DO2-M,%Q15425.5,15425.5,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_DO2-M,%Q16400.5,16400.5,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209230CHB21M14-UE151_STO,%Q17425.0,17425.0,Safe Torque OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209210CHB21M14-UE134_STO,%Q15500.0,15500.0,Safe Torque OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209230CR22M1-UE153_STO,%Q17475.0,17475.0,Safe Torque OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_DO2-P,%Q15400.4,15400.4,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_DO2-M,%Q15475.5,15475.5,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_Running,%Q16426.1,16426.1,Drive Base Running,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_DO2-P,%Q16475.4,16475.4,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_DO2-M,%Q16425.5,16425.5,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE130_MSC-1,%Q15402.4,15402.4,Maximum speed control -> SLS,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_EStopExternal,%Q15476.0,15476.0,External Emergency Stop,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_Lock,%Q16426.2,16426.2,Drive Base Lock,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_DO2-M,%Q16475.5,16475.5,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_EStopExternal,%Q16401.0,16401.0,External Emergency Stop,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_DO2-P,%Q15425.4,15425.4,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_Running,%Q15476.1,15476.1,Drive Base Running,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_Running,%Q16476.1,16476.1,Drive Base Running,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_EStopExternal,%Q16476.0,16476.0,External Emergency Stop,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_Running,%Q16401.1,16401.1,Drive Base Running,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M4-UE141_DMC-ccw,%Q16426.7,16426.7,Direction monitoring control -> SDI,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_Reset,%Q16401.3,16401.3,Drive Base Reset,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_Lock,%Q16401.2,16401.2,Drive Base Lock,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_DO2-P,%Q15475.4,15475.4,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_Reset,%Q15476.3,15476.3,Drive Base Reset,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE143_Lock,%Q16476.2,16476.2,Drive Base Lock,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M1-UE133_DMC-ccw,%Q15476.7,15476.7,Direction monitoring control -> SDI,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_MSC-1,%Q16402.4,16402.4,Maximum speed control -> SLS,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_Running,%Q15426.1,15426.1,Drive Base Running,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_DO2-P,%Q16400.4,16400.4,Power OFF,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_Reset,%Q15426.3,15426.3,Drive Base Reset,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK04M1-UE140_PSC-1,%Q16403.0,16403.0,Position speed control -> SSM,Bool,Output
P209000AE01-JC5,Drives Safety Outputs,209000AK03M4-UE131_Lock,%Q15426.2,15426.2,Drive Base Lock,Bool,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M4-UE141_ControlWord3,%QW16429,1642.9,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M1-UE143_ControlWord1,%QW16475,1647.5,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M4-UE142_ControlWord,%QW16450,1645.0,MoviDrive DFS21B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M1-UE140_ControlWord1,%QW16400,1640.0,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M1-UE143_ControlWord2,%QW16477,1647.7,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M1-UE130_ControlWord2,%QW15402,1540.2,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M4-UE132_ControlWord,%QW15450,1545.0,MoviDrive DFS21B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M4-UE131_ControlWord2,%QW15427,1542.7,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M1-UE143_ControlWord3,%QW16479,1647.9,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M4-UE131_ControlWord1,%QW15425,1542.5,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209220CHB21M14-UE144_ControlWord,%QW16500,1650.0,MoviFit S11B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M1-UE133_ControlWord3,%QW15479,1547.9,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M4-UE131_ControlWord3,%QW15429,1542.9,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209230CHB21M14-UE151_ControlWord,%QW17425,1742.5,MoviFit S11B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209210CHB21M14-UE134_ControlWord,%QW15500,1550.0,MoviFit S11B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209230CHB22M14-UE152_ControlWord,%QW17450,1745.0,MoviFit S11B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M1-UE130_ControlWord1,%QW15400,1540.0,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M1-UE140_ControlWord2,%QW16402,1640.2,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209230CR22M1-UE153_ControlWord,%QW17475,1747.5,MoviFit S11B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M4-UE141_ControlWord1,%QW16425,1642.5,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M1-UE140_ControlWord3,%QW16404,1640.4,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M1-UE130_ControlWord3,%QW15404,1540.4,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209230CA21M4-UE150_ControlWord,%QW17400,1740.0,MoviFit S11B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M1-UE133_ControlWord1,%QW15475,1547.5,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK04M4-UE141_ControlWord2,%QW16427,1642.7,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Control,209000AK03M1-UE133_ControlWord2,%QW15477,1547.7,MoviDrive DFS22B Control Word,Word,Output
P209000AE01-JC5,Drives Safety Words Status,209000AK03M1-UE133_StatusWord1,%IW15475,1547.5,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209230CHB21M14-UE151_StatusWord,%IW17425,1742.5,MoviFit S11B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M4-UE142_StatusWord,%IW16450,1645.0,MoviDrive DFS21B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M1-UE133_StatusWord2,%IW15477,1547.7,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M1-UE143_StatusWord3,%IW16479,1647.9,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209230CA21M4-UE150_StatusWord,%IW17400,1740.0,MoviFit S11B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M1-UE133_StatusWord3,%IW15479,1547.9,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M1-UE143_StatusWord1,%IW16475,1647.5,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M1-UE140_StatusWord1,%IW16400,1640.0,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M1-UE140_StatusWord2,%IW16402,1640.2,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M1-UE143_StatusWord2,%IW16477,1647.7,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M4-UE141_StatusWord2,%IW16427,1642.7,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209230CR22M1-UE153_StatusWord,%IW17475,1747.5,MoviFit S11B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209230CHB22M14-UE152_StatusWord,%IW17450,1745.0,MoviFit S11B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M1-UE130_StatusWord1,%IW15400,1540.0,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M1-UE130_StatusWord3,%IW15404,1540.4,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M1-UE130_StatusWord2,%IW15402,1540.2,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209210CHB21M14-UE134_StatusWord,%IW15500,1550.0,MoviFit S11B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M4-UE131_StatusWord1,%IW15425,1542.5,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M1-UE140_StatusWord3,%IW16404,1640.4,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M4-UE131_StatusWord2,%IW15427,1542.7,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M4-UE141_StatusWord3,%IW16429,1642.9,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M4-UE132_StatusWord,%IW15450,1545.0,MoviDrive DFS21B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK03M4-UE131_StatusWord3,%IW15429,1542.9,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209220CHB21M14-UE144_StatusWord,%IW16500,1650.0,MoviFit S11B Status Word,Word,Input
P209000AE01-JC5,Drives Safety Words Status,209000AK04M4-UE141_StatusWord1,%IW16425,1642.5,MoviDrive DFS22B Status Word,Word,Input
P209000AE01-JC5,ET200SP Inputs,209000AK01SH6,%I10.2,10.2,209000AK01 Lampentest,Bool,Input
P209000AE01-JC5,ET200SP Inputs,I12.3,%I12.3,12.3,Spare,Bool,Input
P209000AE01-JC5,ET200SP Inputs,209220AS10M14SH1,%I501.0,501.0,209220AS10 Pushbutton 220CHB21 Holdback Up,Bool,Input
P209000AE01-JC5,ET200SP Inputs,209000AK01E1FV1,%I12.0,12.0,Surge protection 400VAC AK01 OK,Bool,Input
P209000AE01-JC5,ET200SP Inputs,I858.2,%I858.2,858.2,Spare,Bool,Input
P209000AE01-JC5,ET200SP Inputs,209000AK04F9QC3FB,%I71.2,71.2,Feedback Contactor Brake 209220CS22 QC3,Bool,Input
P209000AE01-JC5,ET200SP Inputs,209000AK02E2SG1,%I13.5,13.5,Cabinet door AK02 Closed,Bool,Input
P209000AE01-JC5,ET200SP Inputs,I71.6,%I71.6,71.6,Spare,Bool,Input
P209000AE01-JC5,ET200SP Inputs,209000AS01SX1_1,%I100.1,100.1,209000AS01 Reset Alarm,Bool,Input
